"","lat","lon","modality","units","O3_cal","O3","reg_site","timestamp"
"153",37.9722,-122.5189,"OZONE","PPB",21,20.5,"San Rafael",2020-06-30 05:00:00
"154",37.7658,-122.3978,"OZONE","PPB",23,24.9,"San Francisco",2020-06-30 05:00:00
"155",37.9604,-122.3571,"OZONE","PPB",20,22.1,"San Pablo",2020-06-30 05:00:00
"156",37.864767,-122.302741,"OZONE","PPB",16,13.6,"Berkeley",2020-06-30 05:00:00
"157",37.8148,-122.282402,"OZONE","PPB",17,15.4,"Oakland",2020-06-30 05:00:00
"158",38.102507,-122.237976,"OZONE","PPB",17,7.6,"Vallejo",2020-06-30 05:00:00
"159",37.743061,-122.169907,"OZONE","PPB",14,10,"San Leandro",2020-06-30 05:00:00
"160",37.9383,-122.025,"OZONE","PPB",24,22.8,"Concord",2020-06-30 05:00:00
"161",37.9722,-122.5189,"OZONE","PPB",24,24.1,"San Rafael",2020-06-30 05:00:00
"162",37.7658,-122.3978,"OZONE","PPB",27,30.3,"San Francisco",2020-06-30 05:00:00
"163",37.9604,-122.3571,"OZONE","PPB",26,27.8,"San Pablo",2020-06-30 05:00:00
"164",37.864767,-122.302741,"OZONE","PPB",20,23.8,"Berkeley",2020-06-30 05:00:00
"165",37.8148,-122.282402,"OZONE","PPB",23,24.5,"Oakland",2020-06-30 05:00:00
"166",38.102507,-122.237976,"OZONE","PPB",30,30.8,"Vallejo",2020-06-30 05:00:00
"167",37.743061,-122.169907,"OZONE","PPB",24,25.7,"San Leandro",2020-06-30 05:00:00
"168",37.9383,-122.025,"OZONE","PPB",36,39.5,"Concord",2020-06-30 05:00:00
"169",37.9722,-122.5189,"OZONE","PPB",22,19.5,"San Rafael",2020-06-30 04:00:00
"170",37.7658,-122.3978,"OZONE","PPB",24,24,"San Francisco",2020-06-30 04:00:00
"171",37.9604,-122.3571,"OZONE","PPB",21,19.3,"San Pablo",2020-06-30 04:00:00
"172",37.864767,-122.302741,"OZONE","PPB",16,17.8,"Berkeley",2020-06-30 04:00:00
"173",37.8148,-122.282402,"OZONE","PPB",18,18.6,"Oakland",2020-06-30 04:00:00
"174",38.102507,-122.237976,"OZONE","PPB",20,19.1,"Vallejo",2020-06-30 04:00:00
"175",37.743061,-122.169907,"OZONE","PPB",16,15.9,"San Leandro",2020-06-30 04:00:00
"176",37.9383,-122.025,"OZONE","PPB",26,25.8,"Concord",2020-06-30 04:00:00
"177",37.9722,-122.5189,"OZONE","PPB",24,23.8,"San Rafael",2020-06-30 04:00:00
"178",37.7658,-122.3978,"OZONE","PPB",27,28.4,"San Francisco",2020-06-30 04:00:00
"179",37.9604,-122.3571,"OZONE","PPB",26,26,"San Pablo",2020-06-30 04:00:00
"180",37.864767,-122.302741,"OZONE","PPB",20,23.6,"Berkeley",2020-06-30 04:00:00
"181",37.8148,-122.282402,"OZONE","PPB",23,24.9,"Oakland",2020-06-30 04:00:00
"182",38.102507,-122.237976,"OZONE","PPB",30,32.4,"Vallejo",2020-06-30 04:00:00
"183",37.743061,-122.169907,"OZONE","PPB",24,25.8,"San Leandro",2020-06-30 04:00:00
"184",37.9383,-122.025,"OZONE","PPB",35,40.3,"Concord",2020-06-30 04:00:00
"185",37.9722,-122.5189,"OZONE","PPB",22,19.8,"San Rafael",2020-06-30 03:00:00
"186",37.7658,-122.3978,"OZONE","PPB",25,23.2,"San Francisco",2020-06-30 03:00:00
"187",37.9604,-122.3571,"OZONE","PPB",22,22,"San Pablo",2020-06-30 03:00:00
"188",37.864767,-122.302741,"OZONE","PPB",17,17.5,"Berkeley",2020-06-30 03:00:00
"189",37.8148,-122.282402,"OZONE","PPB",20,21.2,"Oakland",2020-06-30 03:00:00
"190",38.102507,-122.237976,"OZONE","PPB",21,21.5,"Vallejo",2020-06-30 03:00:00
"191",37.743061,-122.169907,"OZONE","PPB",18,15.1,"San Leandro",2020-06-30 03:00:00
"192",37.9383,-122.025,"OZONE","PPB",28,27.1,"Concord",2020-06-30 03:00:00
"193",37.9722,-122.5189,"OZONE","PPB",23,25.8,"San Rafael",2020-06-30 03:00:00
"194",37.7658,-122.3978,"OZONE","PPB",27,28.5,"San Francisco",2020-06-30 03:00:00
"195",37.9604,-122.3571,"OZONE","PPB",25,29.9,"San Pablo",2020-06-30 03:00:00
"196",37.864767,-122.302741,"OZONE","PPB",20,19.8,"Berkeley",2020-06-30 03:00:00
"197",37.8148,-122.282402,"OZONE","PPB",21,23,"Oakland",2020-06-30 03:00:00
"198",38.102507,-122.237976,"OZONE","PPB",29,34.5,"Vallejo",2020-06-30 03:00:00
"199",37.743061,-122.169907,"OZONE","PPB",23,26.3,"San Leandro",2020-06-30 03:00:00
"200",37.9383,-122.025,"OZONE","PPB",34,39.3,"Concord",2020-06-30 03:00:00
"201",37.9722,-122.5189,"OZONE","PPB",23,25.7,"San Rafael",2020-06-30 02:00:00
"202",37.7658,-122.3978,"OZONE","PPB",26,26.5,"San Francisco",2020-06-30 02:00:00
"203",37.9604,-122.3571,"OZONE","PPB",23,21,"San Pablo",2020-06-30 02:00:00
"204",37.864767,-122.302741,"OZONE","PPB",18,18.6,"Berkeley",2020-06-30 02:00:00
"205",37.8148,-122.282402,"OZONE","PPB",21,22.7,"Oakland",2020-06-30 02:00:00
"206",38.102507,-122.237976,"OZONE","PPB",23,23.2,"Vallejo",2020-06-30 02:00:00
"207",37.743061,-122.169907,"OZONE","PPB",19,19.4,"San Leandro",2020-06-30 02:00:00
"208",37.9383,-122.025,"OZONE","PPB",30,30,"Concord",2020-06-30 02:00:00
"209",37.9722,-122.5189,"OZONE","PPB",22,26.2,"San Rafael",2020-06-30 02:00:00
"210",37.7658,-122.3978,"OZONE","PPB",25,27.2,"San Francisco",2020-06-30 02:00:00
"211",37.9604,-122.3571,"OZONE","PPB",24,28.8,"San Pablo",2020-06-30 02:00:00
"212",37.864767,-122.302741,"OZONE","PPB",19,20.6,"Berkeley",2020-06-30 02:00:00
"213",37.8148,-122.282402,"OZONE","PPB",20,25.7,"Oakland",2020-06-30 02:00:00
"214",38.102507,-122.237976,"OZONE","PPB",27,32.3,"Vallejo",2020-06-30 02:00:00
"215",37.743061,-122.169907,"OZONE","PPB",22,24.3,"San Leandro",2020-06-30 02:00:00
"216",37.9383,-122.025,"OZONE","PPB",32,37.4,"Concord",2020-06-30 02:00:00
"217",37.9722,-122.5189,"OZONE","PPB",23,26.4,"San Rafael",2020-06-30 01:00:00
"218",37.7658,-122.3978,"OZONE","PPB",26,27.1,"San Francisco",2020-06-30 01:00:00
"219",37.9604,-122.3571,"OZONE","PPB",23,21.9,"San Pablo",2020-06-30 01:00:00
"220",37.864767,-122.302741,"OZONE","PPB",19,17.4,"Berkeley",2020-06-30 01:00:00
"221",37.8148,-122.282402,"OZONE","PPB",22,21.8,"Oakland",2020-06-30 01:00:00
"222",38.102507,-122.237976,"OZONE","PPB",26,28,"Vallejo",2020-06-30 01:00:00
"223",37.743061,-122.169907,"OZONE","PPB",21,22.5,"San Leandro",2020-06-30 01:00:00
"224",37.9383,-122.025,"OZONE","PPB",32,31.1,"Concord",2020-06-30 01:00:00
"225",37.9722,-122.5189,"OZONE","PPB",20,23.3,"San Rafael",2020-06-30 01:00:00
"226",37.7658,-122.3978,"OZONE","PPB",23,26,"San Francisco",2020-06-30 01:00:00
"227",37.9604,-122.3571,"OZONE","PPB",23,26.4,"San Pablo",2020-06-30 01:00:00
"228",37.864767,-122.302741,"OZONE","PPB",17,19.3,"Berkeley",2020-06-30 01:00:00
"229",37.8148,-122.282402,"OZONE","PPB",19,22.4,"Oakland",2020-06-30 01:00:00
"230",38.102507,-122.237976,"OZONE","PPB",25,29.3,"Vallejo",2020-06-30 01:00:00
"231",37.743061,-122.169907,"OZONE","PPB",21,22,"San Leandro",2020-06-30 01:00:00
"232",37.9383,-122.025,"OZONE","PPB",30,33,"Concord",2020-06-30 01:00:00
"233",37.9722,-122.5189,"OZONE","PPB",24,26.1,"San Rafael",2020-06-30 00:00:00
"234",37.7658,-122.3978,"OZONE","PPB",27,27.2,"San Francisco",2020-06-30 00:00:00
"235",37.9604,-122.3571,"OZONE","PPB",25,24.8,"San Pablo",2020-06-30 00:00:00
"236",37.864767,-122.302741,"OZONE","PPB",19,17.9,"Berkeley",2020-06-30 00:00:00
"237",37.8148,-122.282402,"OZONE","PPB",23,23.3,"Oakland",2020-06-30 00:00:00
"238",38.102507,-122.237976,"OZONE","PPB",28,29.4,"Vallejo",2020-06-30 00:00:00
"239",37.743061,-122.169907,"OZONE","PPB",23,23.8,"San Leandro",2020-06-30 00:00:00
"240",37.9383,-122.025,"OZONE","PPB",34,32.5,"Concord",2020-06-30 00:00:00
"241",37.9722,-122.5189,"OZONE","PPB",18,22.8,"San Rafael",2020-06-30 00:00:00
"242",37.7658,-122.3978,"OZONE","PPB",22,24.7,"San Francisco",2020-06-30 00:00:00
"243",37.9604,-122.3571,"OZONE","PPB",21,22.5,"San Pablo",2020-06-30 00:00:00
"244",37.864767,-122.302741,"OZONE","PPB",15,19.3,"Berkeley",2020-06-30 00:00:00
"245",37.8148,-122.282402,"OZONE","PPB",17,16,"Oakland",2020-06-30 00:00:00
"246",38.102507,-122.237976,"OZONE","PPB",22,23.9,"Vallejo",2020-06-30 00:00:00
"247",37.743061,-122.169907,"OZONE","PPB",18,20.4,"San Leandro",2020-06-30 00:00:00
"248",37.9383,-122.025,"OZONE","PPB",26,28.6,"Concord",2020-06-30 00:00:00
"249",37.9722,-122.5189,"OZONE","PPB",16,19.9,"San Rafael",2020-06-29 23:00:00
"250",37.7658,-122.3978,"OZONE","PPB",20,23.1,"San Francisco",2020-06-29 23:00:00
"251",37.9604,-122.3571,"OZONE","PPB",19,17.7,"San Pablo",2020-06-29 23:00:00
"252",37.864767,-122.302741,"OZONE","PPB",14,16.6,"Berkeley",2020-06-29 23:00:00
"253",37.8148,-122.282402,"OZONE","PPB",15,11.8,"Oakland",2020-06-29 23:00:00
"254",38.102507,-122.237976,"OZONE","PPB",20,18.7,"Vallejo",2020-06-29 23:00:00
