"ID","TIME","TIMESTAMP","LATITUDE","LONGITUDE","DEPLOYMENT.DATE","DEPLOYMENT.DATETIME","O3.GAIN.PSE","O3.OFFSET.PSE","O3.GAIN.AQ","O3.OFFSET.AQ","O3.PROXY","O3.RAW","O3.PSE","O3.AQ","NO2.RAW","NO2.AQ"
"AQY BB-633","2020-07-07 14:00:00",2020-07-07 14:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,28.4,32.35,28.76,29.33,-2.79,2.19
"AQY BB-642","2020-07-07 14:00:00",2020-07-07 14:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,28.4,27.78,27.25,27.48,2.17,2
"AQY BB-633","2020-07-07 15:00:00",2020-07-07 15:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,28,32.44,28.95,29.52,-0.99,3.05
"AQY BB-642","2020-07-07 15:00:00",2020-07-07 15:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,28,27.78,27.25,27.48,2.87,2.33
"AQY BB-633","2020-07-07 16:00:00",2020-07-07 16:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,28.6,32.6,29.27,29.84,1.54,4.26
"AQY BB-642","2020-07-07 16:00:00",2020-07-07 16:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,28.6,27.86,27.46,27.67,4.51,3.06
"AQY BB-633","2020-07-07 17:00:00",2020-07-07 17:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,27.7,32.24,28.54,29.11,2.35,4.88
"AQY BB-642","2020-07-07 17:00:00",2020-07-07 17:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,27.7,27.66,26.95,27.19,5.55,3.7
"AQY BB-633","2020-07-07 18:00:00",2020-07-07 18:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,31.2,33.92,31.93,32.52,3.66,4.59
"AQY BB-642","2020-07-07 18:00:00",2020-07-07 18:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,31.2,28.78,29.8,29.91,8.62,4.33
"AQY BB-633","2020-07-07 19:00:00",2020-07-07 19:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,34.2,35.41,34.93,35.55,5.36,4.6
"AQY BB-642","2020-07-07 19:00:00",2020-07-07 19:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,34.2,30.08,33.1,33.08,11.38,4.67
"AQY BB-633","2020-07-07 20:00:00",2020-07-07 20:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,35.6,36.22,36.56,37.19,2.23,2.53
"AQY BB-642","2020-07-07 20:00:00",2020-07-07 20:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,35.6,31.13,35.78,35.64,9.57,3.04
"AQY BB-633","2020-07-07 21:00:00",2020-07-07 21:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,32.3,34.8,33.7,34.31,-1.55,1.41
"AQY BB-642","2020-07-07 21:00:00",2020-07-07 21:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,32.3,30.17,33.33,33.3,7.15,2.6
"AQY BB-633","2020-07-07 22:00:00",2020-07-07 22:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,28.5,33.04,30.15,30.73,-6.46,-0.1
"AQY BB-642","2020-07-07 22:00:00",2020-07-07 22:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,28.5,28.94,30.2,30.3,2.69,1.4
"AQY BB-633","2020-07-07 23:00:00",2020-07-07 23:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,24.6,31.25,26.55,27.1,-8.69,-0.21
"AQY BB-642","2020-07-07 23:00:00",2020-07-07 23:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,24.6,27.5,26.54,26.8,0.36,1.35
"AQY BB-633","2020-07-08 00:00:00",2020-07-08 00:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,21.7,29.76,23.55,24.08,-11.39,-0.73
"AQY BB-642","2020-07-08 00:00:00",2020-07-08 00:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,21.7,26.4,23.74,24.12,-3.03,0.55
"AQY BB-633","2020-07-08 01:00:00",2020-07-08 01:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,20.5,28.84,21.7,22.21,-10.57,0.22
"AQY BB-642","2020-07-08 01:00:00",2020-07-08 01:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,20.5,25.25,20.82,21.31,-2.5,1.66
"AQY BB-633","2020-07-08 02:00:00",2020-07-08 02:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,16.7,26.76,17.51,17.99,-7.32,3.09
"AQY BB-642","2020-07-08 02:00:00",2020-07-08 02:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,16.7,23.7,16.87,17.54,-0.57,3.73
"AQY BB-633","2020-07-08 03:00:00",2020-07-08 03:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,16.4,26.57,17.12,17.6,-10.59,1.52
"AQY BB-642","2020-07-08 03:00:00",2020-07-08 03:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,16.4,24.02,17.69,18.32,-3.76,1.98
"AQY BB-633","2020-07-08 04:00:00",2020-07-08 04:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,13.3,24.69,13.34,13.78,-10.76,2.52
"AQY BB-642","2020-07-08 04:00:00",2020-07-08 04:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,13.3,22.52,13.87,14.66,-4.13,2.9
"AQY BB-633","2020-07-08 05:00:00",2020-07-08 05:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,12.7,24.53,13.01,13.46,-11.68,2.14
"AQY BB-642","2020-07-08 05:00:00",2020-07-08 05:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,12.7,22.3,13.31,14.13,-5.22,2.55
"AQY BB-633","2020-07-08 06:00:00",2020-07-08 06:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,12.5,24.56,13.08,13.52,-12.12,1.89
"AQY BB-642","2020-07-08 06:00:00",2020-07-08 06:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,12.5,22.11,12.83,13.67,-5.86,2.39
"AQY BB-633","2020-07-08 07:00:00",2020-07-08 07:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,12.6,24.75,13.46,13.91,-14.1,0.77
"AQY BB-642","2020-07-08 07:00:00",2020-07-08 07:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,12.6,22.38,13.52,14.32,-7.95,1.19
"AQY BB-633","2020-07-08 08:00:00",2020-07-08 08:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,12.1,24.39,12.73,13.17,-13.91,1.07
"AQY BB-642","2020-07-08 08:00:00",2020-07-08 08:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,12.1,21.99,12.52,13.37,-8.01,1.46
"AQY BB-633","2020-07-08 09:00:00",2020-07-08 09:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,11.6,24.07,12.09,12.53,-13.25,1.6
"AQY BB-642","2020-07-08 09:00:00",2020-07-08 09:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,11.6,21.73,11.86,12.74,-7.77,1.76
"AQY BB-633","2020-07-08 10:00:00",2020-07-08 10:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,10,24.07,12.09,12.53,-12.95,1.75
"AQY BB-642","2020-07-08 10:00:00",2020-07-08 10:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,10,21.88,12.24,13.11,-8.04,1.52
"AQY BB-633","2020-07-08 11:00:00",2020-07-08 11:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,10,22.09,8.1,8.51,-10.93,3.93
"AQY BB-642","2020-07-08 11:00:00",2020-07-08 11:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,10,20.11,7.74,8.79,-6.36,3.63
"AQY BB-633","2020-07-08 12:00:00",2020-07-08 12:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,8.2,22.06,8.04,8.44,-10.52,4.16
"AQY BB-642","2020-07-08 12:00:00",2020-07-08 12:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,8.2,20.11,7.74,8.79,-5.83,3.89
"AQY BB-633","2020-07-08 13:00:00",2020-07-08 13:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,8.7,22.23,8.38,8.79,-10.11,4.28
"AQY BB-642","2020-07-08 13:00:00",2020-07-08 13:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,8.7,19.96,7.36,8.43,-5.42,4.19
"AQY BB-633","2020-07-08 14:00:00",2020-07-08 14:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,10.2,22.82,9.57,9.99,-8.08,4.97
"AQY BB-642","2020-07-08 14:00:00",2020-07-08 14:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,10.2,20.04,7.56,8.62,-3.9,4.85
"AQY BB-633","2020-07-08 15:00:00",2020-07-08 15:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,12.4,24.12,12.19,12.63,-6.56,5
"AQY BB-642","2020-07-08 15:00:00",2020-07-08 15:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,12.4,21.04,10.11,11.06,-3.18,4.45
"AQY BB-633","2020-07-08 16:00:00",2020-07-08 16:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,12.2,24,11.95,12.38,-4.31,6.22
"AQY BB-642","2020-07-08 16:00:00",2020-07-08 16:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,12.2,20.94,9.85,10.82,-1.7,5.23
"AQY BB-633","2020-07-08 17:00:00",2020-07-08 17:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,15.7,25.85,15.67,16.14,-3.16,5.75
"AQY BB-642","2020-07-08 17:00:00",2020-07-08 17:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,15.7,22.38,13.52,14.32,0.31,5.11
"AQY BB-633","2020-07-08 18:00:00",2020-07-08 18:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,21.3,28.8,21.61,22.13,-3.55,3.84
"AQY BB-642","2020-07-08 18:00:00",2020-07-08 18:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,21.3,24.6,19.16,19.73,2.56,4.54
"AQY BB-633","2020-07-08 19:00:00",2020-07-08 19:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,24.1,30.28,24.6,25.13,-3.08,3.23
"AQY BB-642","2020-07-08 19:00:00",2020-07-08 19:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,24.1,25.9,22.47,22.9,3.51,4.03
"AQY BB-633","2020-07-08 20:00:00",2020-07-08 20:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,23.7,30.26,24.56,25.09,-5.29,2.1
